Shutter Island,2010.0,138 min,"Mystery, Thriller",8.2,Leonardo DiCaprio,Emily Mortimer,Ben Kingsley
Up,2009.0,96 min,"Animation, Adventure, Comedy",8.2,Bob Peterson,Edward Asner,John Ratzenberger
The Wolf of Wall Street,2013.0,180 min,"Biography, Crime, Drama",8.2,Leonardo DiCaprio,Jonah Hill,Matthew McConaughey
Chak De! India,2007.0,153 min,"Drama, Family, Sport",8.2,Shah Rukh Khan,Vidya Malvade,Shilpa Shukla
There Will Be Blood,2007.0,158 min,Drama,8.2,Daniel Day-Lewis,Paul Dano,Martin Stringer
Pan's Labyrinth,2006.0,118 min,"Drama, Fantasy, War",8.2,Ivana Baquero,Ariadna Gil,Maribel Verdú
Toy Story 3,2010.0,103 min,"Animation, Adventure, Comedy",8.2,Tom Hanks,Tim Allen,Ned Beatty
V for Vendetta,2005.0,132 min,"Action, Drama, Sci-Fi",8.2,Hugo Weaving,Natalie Portman,Stephen Rea
Rang De Basanti,2006.0,167 min,"Comedy, Crime, Drama",8.2,Aamir Khan,Soha Ali Khan,Sharman Joshi
Black,2005.0,122 min,Drama,8.2,Amitabh Bachchan,Rani Mukerji,Ayesha Kapoor
Batman Begins,2005.0,140 min,"Action, Adventure",8.2,Christian Bale,Michael Caine,Liam Neeson
"Swades: We, the People",2004.0,210 min,Drama,8.2,Shah Rukh Khan,Gayatri Joshi,Smit Sheth
Der Untergang,2004.0,156 min,"Biography, Drama, History",8.2,Bruno Ganz,Alexandra Maria Lara,Juliane Köhler
Hauru no ugoku shiro,2004.0,119 min,"Animation, Adventure, Family",8.2,Chieko Baishô,Takuya Kimura,Akihiro Miwa
A Beautiful Mind,2001.0,135 min,"Biography, Drama",8.2,Russell Crowe,Ed Harris,Christopher Plummer
Hera Pheri,2000.0,156 min,"Action, Comedy, Crime",8.2,Akshay Kumar,Sunil Shetty,Tabu
"Lock, Stock and Two Smoking Barrels",1998.0,107 min,"Action, Comedy, Crime",8.2,Jason Flemyng,Dexter Fletcher,Jason Statham
L.A. Confidential,1997.0,138 min,"Crime, Drama, Mystery",8.2,Kevin Spacey,Russell Crowe,Kim Basinger
Eskiya,1996.0,128 min,"Crime, Drama, Thriller",8.2,Sener Sen,Ugur Yücel,Yesim Salkim
Heat,1995.0,170 min,"Crime, Drama, Thriller",8.2,Al Pacino,Robert De Niro,Jon Voight
Casino,1995.0,178 min,"Crime, Drama",8.2,Robert De Niro,Sharon Stone,James Woods
Andaz Apna Apna,1994.0,160 min,"Action, Comedy, Romance",8.2,Aamir Khan,Salman Khan,Karisma Kapoor
Unforgiven,1992.0,130 min,"Drama, Western",8.2,Clint Eastwood,Gene Hackman,Richard Harris
Indiana Jones and the Last Crusade,1989.0,127 min,"Action, Adventure",8.2,Harrison Ford,Sean Connery,Denholm Elliott
Dom za vesanje,1988.0,142 min,"Comedy, Crime, Drama",8.2,Davor Dujmovic,Bora Todorovic,Husnija Hasimovic
Tonari no Totoro,1988.0,86 min,"Animation, Family, Fantasy",8.2,Hitoshi Takagi,Noriko Hidaka,Shigesato Itoi
Die Hard,1988.0,132 min,"Action, Thriller",8.2,Bruce Willis,Alan Rickman,Reginald VelJohnson
Ran,1985.0,162 min,"Action, Drama, War",8.2,Tatsuya Nakadai,Akira Terao,Daisuke Ryû
Raging Bull,1980.0,129 min,"Biography, Drama, Sport",8.2,Robert De Niro,Cathy Moriarty,Frank Vincent
Stalker,1979.0,162 min,"Drama, Sci-Fi",8.2,Alisa Freyndlikh,Aleksandr Kaydanovskiy,Nikolay Grinko
Höstsonaten,1978.0,99 min,"Drama, Music",8.2,Ingrid Bergman,Liv Ullmann,Halvar Björk
The Message,1976.0,177 min,"Biography, Drama, History",8.2,Anthony Quinn,Irene Papas,Johnny Sekka
Sholay,1975.0,204 min,"Action, Adventure, Comedy",8.2,Sanjeev Kumar,Dharmendra,Amjad Khan
Monty Python and the Holy Grail,1975.0,91 min,"Adventure, Comedy, Fantasy",8.2,Terry Jones,Graham Chapman,Eric Idle
The Great Escape,1963.0,172 min,"Adventure, Drama, History",8.2,Steve McQueen,James Garner,Charles Bronson
To Kill a Mockingbird,1962.0,129 min,"Crime, Drama",8.2,Gregory Peck,John Megna,Rosemary Murphy
Yôjinbô,1961.0,110 min,"Action, Drama, Thriller",8.2,Toshirô Mifune,Eijirô Tôno,Yôko Tsukasa
Judgment at Nuremberg,1961.0,179 min,"Drama, War",8.2,Spencer Tracy,Burt Lancaster,Marlene Dietrich
Some Like It Hot,1959.0,121 min,"Comedy, Music, Romance",8.2,Marilyn Monroe,Tony Curtis,George Raft
Smultronstället,1957.0,91 min,"Drama, Romance",8.2,Victor Sjöström,Bibi Andersson,Gunnar Björnstrand
Det sjunde inseglet,1957.0,96 min,"Drama, Fantasy, History",8.2,Max von Sydow,Gunnar Björnstrand,Nils Poppe
Du rififi chez les hommes,1955.0,118 min,"Crime, Drama, Thriller",8.2,Jean Servais,Carl Möhner,Janine Darcey
Dial M for Murder,1954.0,105 min,"Crime, Thriller",8.2,Ray Milland,Grace Kelly,John Williams
Tôkyô monogatari,1953.0,136 min,Drama,8.2,Chishû Ryû,Chieko Higashiyama,Setsuko Hara
Rashômon,1950.0,88 min,"Crime, Drama, Mystery",8.2,Toshirô Mifune,Machiko Kyô,Takashi Shimura
All About Eve,1950.0,138 min,Drama,8.2,Bette Davis,Anne Baxter,Celeste Holm
The Treasure of the Sierra Madre,1948.0,126 min,"Adventure, Drama, Western",8.2,Humphrey Bogart,Walter Huston,Bruce Bennett
To Be or Not to Be,1942.0,99 min,"Comedy, War",8.2,Carole Lombard,Jack Benny,Felix Bressart
The Gold Rush,1925.0,95 min,"Adventure, Comedy, Drama",8.2,Charles Chaplin,Mack Swain,Henry Bergman
Sherlock Jr.,1924.0,45 min,"Action, Comedy, Romance",8.2,Buster Keaton,Kathryn McGuire,Erwin Connelly
Portrait de la jeune fille en feu,2019.0,122 min,"Drama, Romance",8.1,Noémie Merlant,Adèle Haenel,Valeria Golino
Pink,2016.0,136 min,"Drama, Thriller",8.1,Taapsee Pannu,Amitabh Bachchan,Andrea Tariang
Koe no katachi,2016.0,130 min,"Animation, Drama, Family",8.1,Miyu Irino,Saori Hayami,Kenshô Ono
Contratiempo,2016.0,106 min,"Crime, Drama, Mystery",8.1,Mario Casas,Ana Wagener,Bárbara Lennie
Ah-ga-ssi,2016.0,145 min,"Drama, Romance, Thriller",8.1,Kim Min-hee,Jung-woo Ha,Moon So-Ri
Mommy,2014.0,139 min,Drama,8.1,Anne Dorval,Antoine Olivier Pilon,Patrick Huard
Haider,2014.0,160 min,"Action, Crime, Drama",8.1,Shahid Kapoor,Tabu,Kay Kay Menon
Logan,2017.0,137 min,"Action, Drama, Sci-Fi",8.1,Hugh Jackman,Patrick Stewart,Boyd Holbrook
Room,2015.0,118 min,"Drama, Thriller",8.1,Brie Larson,Jacob Tremblay,Wendy Crewson
Relatos salvajes,2014.0,122 min,"Comedy, Drama, Thriller",8.1,Darío Grandinetti,María Marull,Diego Starosta
Soul,2020.0,100 min,"Animation, Adventure, Comedy",8.1,Kemp Powers,Jamie Foxx,Graham Norton
Kis Uykusu,2014.0,196 min,Drama,8.1,Haluk Bilginer,Melisa Sözen,Ayberk Pekcan
PK,2014.0,153 min,"Comedy, Drama, Musical",8.1,Aamir Khan,Anushka Sharma,Boman Irani
OMG: Oh My God!,2012.0,125 min,"Comedy, Drama, Fantasy",8.1,Paresh Rawal,Akshay Kumar,Mahesh Manjrekar
The Grand Budapest Hotel,2014.0,99 min,"Adventure, Comedy, Crime",8.1,Ralph Fiennes,F. Murray Abraham,Adrien Brody
Gone Girl,2014.0,149 min,"Drama, Mystery, Thriller",8.1,Ben Affleck,Rosamund Pike,Tyler Perry
Ôkami kodomo no Ame to Yuki,2012.0,117 min,"Animation, Drama, Fantasy",8.1,Aoi Miyazaki,Takao Osawa,Yukito Nishii
Hacksaw Ridge,2016.0,139 min,"Biography, Drama, History",8.1,Andrew Garfield,Sam Worthington,Teresa Palmer
Inside Out,2015.0,95 min,"Animation, Adventure, Comedy",8.1,Ronnie Del Carmen,Amy Poehler,Lewis Black
Barfi!,2012.0,151 min,"Comedy, Drama, Romance",8.1,Ranbir Kapoor,Priyanka Chopra,Saurabh Shukla
12 Years a Slave,2013.0,134 min,"Biography, Drama, History",8.1,Chiwetel Ejiofor,Michael Kenneth Williams,Brad Pitt
Rush,2013.0,123 min,"Action, Biography, Drama",8.1,Daniel Brühl,Chris Hemsworth,Alexandra Maria Lara
Ford v Ferrari,2019.0,152 min,"Action, Biography, Drama",8.1,Matt Damon,Christian Bale,Caitriona Balfe
Spotlight,2015.0,129 min,"Biography, Crime, Drama",8.1,Mark Ruffalo,Michael Keaton,Liev Schreiber
Song of the Sea,2014.0,93 min,"Animation, Adventure, Drama",8.1,David Rawle,Brendan Gleeson,Fionnula Flanagan
Kahaani,2012.0,122 min,"Mystery, Thriller",8.1,Vidya Balan,Parambrata Chattopadhyay,Nawazuddin Siddiqui
Zindagi Na Milegi Dobara,2011.0,155 min,"Comedy, Drama",8.1,Hrithik Roshan,Farhan Akhtar,Katrina Kaif
Prisoners,2013.0,153 min,"Crime, Drama, Mystery",8.1,Hugh Jackman,Jake Gyllenhaal,Melissa Leo
Mad Max: Fury Road,2015.0,120 min,"Action, Adventure, Sci-Fi",8.1,Tom Hardy,Charlize Theron,Zoë Kravitz
A Wednesday,2008.0,104 min,"Action, Crime, Drama",8.1,Anupam Kher,Naseeruddin Shah,Aamir Bashir
Gran Torino,2008.0,116 min,Drama,8.1,Clint Eastwood,Bee Vang,Ahney Her
Harry Potter and the Deathly Hallows: Part 2,2011.0,130 min,"Adventure, Drama, Fantasy",8.1,Daniel Radcliffe,Emma Watson,Michael Gambon
Okuribito,2008.0,130 min,"Drama, Music",8.1,Masahiro Motoki,Ryôko Hirosue,Kazuko Yoshiyuki
Hachi: A Dog's Tale,2009.0,93 min,"Biography, Drama, Family",8.1,Richard Gere,Joan Allen,Sarah Roemer
Mary and Max,2009.0,92 min,"Animation, Comedy, Drama",8.1,Toni Collette,Philip Seymour Hoffman,Barry Humphries
How to Train Your Dragon,2010.0,98 min,"Animation, Action, Adventure",8.1,Chris Sanders,Jay Baruchel,Christopher Mintz-Plasse
